title,author,publisher,publication_date,original_price,sale_price,sale_index,review_count,rating,image_url,book_url
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,20000,18000,92187,62,9.8,https://image.yes24.com/goods/163301895/L,https://www.yes24.com/product/goods/163301895
요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,28000,25200,26106,2,10.0,https://image.yes24.com/goods/174658020/L,https://www.yes24.com/product/goods/174658020
누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,19000,17100,26031,11,10.0,https://image.yes24.com/goods/172517063/L,https://www.yes24.com/product/goods/172517063
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,59490,44,9.5,https://image.yes24.com/goods/150566390/L,https://www.yes24.com/product/goods/150566390
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,19800,17820,17682,84,10.0,https://image.yes24.com/goods/169849422/L,https://www.yes24.com/product/goods/169849422
피지컬 AI 메가 트렌드,"최홍섭, 원미르",위즈덤하우스,2026년 01월,23000,20700,8286,21,9.9,https://image.yes24.com/goods/176004735/L,https://www.yes24.com/product/goods/176004735
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,24000,21600,30378,18,8.4,https://image.yes24.com/goods/151850127/L,https://www.yes24.com/product/goods/151850127
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,94893,65,9.8,https://image.yes24.com/goods/145426898/L,https://www.yes24.com/product/goods/145426898
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,37668,97,9.4,https://image.yes24.com/goods/146955725/L,https://www.yes24.com/product/goods/146955725
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초,골든래빗,2025년 12월,18800,16920,18366,82,10.0,https://image.yes24.com/goods/167400825/L,https://www.yes24.com/product/goods/167400825
제로클릭,손승완,길벗,2026년 01월,18800,16920,9990,41,9.8,https://image.yes24.com/goods/171566846/L,https://www.yes24.com/product/goods/171566846
